season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2020 Spring Season,Week 8,10.5,S04,VIT,1 - 0
LEC 2020 Spring Season,Week 8,10.5,SK,OG,0 - 1
LEC 2020 Spring Season,Week 8,10.5,MAD,MSF,1 - 0
LEC 2020 Spring Season,Week 8,10.5,G2,XL,1 - 0
LEC 2020 Spring Season,Week 8,10.5,FNC,RGE,1 - 0
LEC 2020 Spring Season,Week 9,10.6,RGE,SK,0 - 1
LEC 2020 Spring Season,Week 9,10.6,VIT,MSF,0 - 1
LEC 2020 Spring Season,Week 9,10.6,G2,S04,1 - 0
LEC 2020 Spring Season,Week 9,10.6,XL,OG,0 - 1
LEC 2020 Spring Season,Week 9,10.6,MAD,FNC,0 - 1
LEC 2020 Spring Season,Week 9,10.6,SK,XL,1 - 0
LEC 2020 Spring Season,Week 9,10.6,S04,RGE,1 - 0
LEC 2020 Spring Season,Week 9,10.6,OG,MAD,0 - 1
LEC 2020 Spring Season,Week 9,10.6,FNC,VIT,0 - 1
LEC 2020 Spring Season,Week 9,10.6,MSF,G2,0 - 1
LEC 2021 Spring Season,Week 1,11.1,G2,MAD,1 - 0
LEC 2020 Summer Season,Week 3,10.12,G2,FNC,1 - 0
LEC 2020 Summer Season,Week 4,10.13,VIT,XL,0 - 1
LEC 2020 Summer Season,Week 4,10.13,MAD,S04,1 - 0
LEC 2020 Summer Season,Week 4,10.13,FNC,SK,1 - 0
LEC 2020 Summer Season,Week 4,10.13,RGE,OG,1 - 0
LEC 2020 Summer Season,Week 4,10.13,MSF,G2,0 - 1
LEC 2020 Summer Season,Week 4,10.13,RGE,SK,1 - 0
LEC 2020 Summer Season,Week 4,10.13,VIT,OG,1 - 0
LEC 2020 Summer Season,Week 4,10.13,FNC,S04,0 - 1
LEC 2020 Summer Season,Week 4,10.13,G2,XL,0 - 1
LEC 2020 Summer Season,Week 4,10.13,MSF,MAD,1 - 0
LEC 2020 Summer Season,Week 5,10.14,VIT,SK,0 - 1
